total_sales,genre,release_date
20.32,Action,2013-09-17
19.39,Action,2014-11-18
16.15,Action,2002-10-28
15.86,Action,2013-09-17
15.09,Shooter,2015-11-06
14.82,Shooter,2011-11-08
14.74,Shooter,2010-11-09
13.94,Action-Adventure,2018-10-26
13.86,Shooter,2012-11-13
13.8,Shooter,2012-11-13
13.53,Shooter,2009-11-10
13.4,Shooter,2017-11-03
13.35,Shooter,2011-11-08
13.1,Action,2001-10-23
12.67,Shooter,2010-11-09
11.8,Sports,2017-09-29
11.09,Action,2008-04-29
10.94,Sports,2016-09-27
10.61,Shooter,2009-11-10
10.57,Action,2008-04-29
10.41,Shooter,2013-11-05
10.13,Shooter,2013-11-05
9.97,Shooter,2010-09-14
9.96,Shooter,2012-11-06
9.41,Shooter,2007-11-05
9.32,Shooter,2018-10-12
9.15,Sports,2018-09-28
8.88,Role-Playing,2011-11-11
8.72,Action,2014-11-18
8.48,Shooter,2016-11-04
8.48,Role-Playing,2015-11-10
8.22,Sports,2015-09-22
8.03,Shooter,2015-11-17
8.01,Sports,2012-09-25
7.96,Simulation,2009-06-02
7.72,Action,2005-10-25
7.53,Shooter,2014-11-04
7.5,Shooter,2008-11-10
7.37,Shooter,2015-11-06
7.35,Shooter,2011-10-25
7.26,Shooter,2016-10-21
7.21,Shooter,2011-10-25
7.2,Racing,2003-11-17
6.9,Racing,2004-11-15
6.89,Music,2012-10-09
6.83,Shooter,2002-05-28
6.74,Action,2009-10-13
6.72,Shooter,2007-11-05
6.65,Sports,2011-09-27
6.61,Sports,2013-09-24
6.57,Action,2011-10-11
6.5,Action,2010-05-18
6.5,Action-Adventure,2012-10-30
6.49,Role-Playing,2011-11-11
6.33,Misc,2014-10-07
6.32,Sports,2014-09-23
6.27,Action,1999-06-30
6.23,Shooter,2017-11-03
6.05,Misc,2014-05-16
5.77,Action-Adventure,2018-10-26
5.76,Shooter,2014-09-09
5.74,Fighting,1996-08-25
5.66,Action,2007-11-06
5.66,Simulation,2006-09-12
5.57,Action,2009-11-17
5.55,Action,2007-11-13
5.54,Action,2011-10-18
5.5,Racing,2009-10-27
5.43,Shooter,2008-11-10
5.43,Misc,2014-11-18
5.42,Platform,2001-10-29
5.35,Role-Playing,2010-03-09
5.31,Action-Adventure,2012-10-30
5.3,Action,2009-11-17
5.24,Adventure,1997-10-31
5.23,Sports,2003-08-12
5.22,Shooter,2014-11-04
5.13,Shooter,2003-11-11
5.13,Shooter,2016-10-21
5.12,Simulation,1996-10-31
5.12,Misc,2006-11-07
5.11,Sports,2012-09-25
5.1,Sports,2008-01-22
5.1,Role-Playing,2010-10-26
5.1,Action,2009-03-13
5.08,Sports,2010-09-28
5.08,Action,2006-10-31
5.07,Role-Playing,2016-11-29
5.03,Role-Playing,2015-11-10
5.02,Sports,1999-08-31
5.01,Strategy,1999-05-31
4.98,Misc,2007-10-28
4.97,Action,2007-11-16
4.96,Role-Playing,2008-10-28
4.91,Sports,2005-08-08
4.85,Shooter,2018-10-12
4.83,Action,2007-11-13
4.83,Platform,2017-06-30
4.79,Shooter,2016-11-04
4.79,Racing,1999-09-30
4.77,Action,2007-11-06
4.75,Action,2011-10-18
4.73,Action,2000-11-13
4.7,Racing,2003-09-16
4.68,Sports,2000-09-20
4.67,Action,2002-10-21
4.63,Action,1996-11-14
4.6,Racing,2011-10-11
4.6,Misc,2007-10-28
4.56,Sports,2014-09-23
4.54,Sports,2009-10-13
4.54,Shooter,2016-05-24
4.53,Misc,2007-10-28
4.53,Shooter,2017-11-17
4.53,Sports,2004-08-09
4.48,Action,2002-04-15
4.47,Role-Playing,2009-07-07
4.41,Sports,2001-10-28
4.39,Sports,2007-02-06
4.37,Shooter,2016-03-08
4.37,Racing,2005-11-15
4.37,Misc,2010-11-23
4.36,Shooter,2015-12-01
4.34,Shooter,2014-11-04
4.32,Action-Adventure,2014-05-27
4.28,Action,2009-08-25
4.27,Shooter,2014-11-04
4.24,Misc,2001-06-10
4.23,Action,2011-11-15
4.22,Action,2011-11-15
4.21,Sports,2005-10-04
4.19,Fighting,2009-02-17
4.18,Sports,2011-09-27
4.17,Shooter,2013-11-15
4.17,Platform,1989-06-01
4.16,Action,1997-09-30
4.15,Sports,2013-09-24
4.15,Shooter,2015-11-17
4.14,Sports,2002-08-12
4.14,Action,2014-11-11
4.14,Shooter,2017-09-06
4.11,Sports,2006-10-03
4.11,Action,2015-06-23
4.1,Simulation,2014-09-02
4.08,Role-Playing,2010-10-19
4.06,Misc,2007-08-28
4.06,Shooter,2014-11-18
4.06,Action,2017-10-27
4.06,Sports,2006-02-07
4.05,Racing,2007-05-29
4.05,Misc,1997-01-31
4.05,Fighting,2000-10-25
4,Role-Playing,2008-10-28
3.99,Role-Playing,2011-11-11
3.98,Sports,2015-09-29
3.98,Misc,2005-08-30
3.95,Action,2018-03-27
3.94,Shooter,2013-11-15
3.94,Action-Adventure,2013-10-29
3.9,Sports,2003-10-27
3.89,Music,2013-10-08
3.88,Sports,2010-09-17
3.85,Sports,2005-02-01
3.84,Misc,1996-07-31
3.76,Adventure,2008-06-03
3.76,Simulation,2002-09-23
3.75,Platform,2007-02-13
3.71,Sports,2016-09-27
3.7,Sports,2004-10-12
3.67,Sports,2002-10-23
3.66,Simulation,2007-09-18
3.66,Racing,2005-06-27
3.65,Shooter,2002-08-27
3.64,Shooter,2013-10-29
3.64,Platform,2001-12-04
3.63,Sports,2008-03-11
3.63,Sports,2009-10-20
3.62,Misc,2008-10-26
3.61,Racing,2001-11-24
3.61,Shooter,2004-09-20
3.61,Shooter,1994-09-30
3.6,Action,2015-10-23
3.59,Shooter,2005-11-01
3.58,Action,2014-11-11
3.58,Fighting,2000-03-01
3.58,Simulation,2007-11-13
3.54,Action,2003-01-19
3.54,Adventure,1998-11-21
3.54,Action,2006-06-06
3.54,Shooter,2013-10-29
3.54,Action,2009-08-25
3.53,Action,2009-03-13
3.53,Action,2010-11-16
3.53,Action,2005-04-02
3.53,Shooter,2001-11-13
3.52,Action,2000-10-29
3.52,Sports,2010-09-28
3.52,Sports,2016-09-16
3.49,Fighting,2015-04-14
3.49,Sports,2003-11-04
3.48,Shooter,2009-10-20
3.48,Shooter,2010-03-02
3.47,Sports,2009-10-13
3.46,Misc,2008-06-22
3.44,Fighting,2002-09-23
3.44,Adventure,2008-09-23
3.44,Shooter,2014-11-11
3.43,Platform,2011-01-18
3.43,Sports,2013-11-15
3.42,Action,1999-10-25
3.41,Shooter,2014-09-09
3.41,Action,2004-06-28
3.4,Sports,2002-11-14
3.39,Misc,2000-11-06
3.38,Shooter,2016-10-11
3.36,Role-Playing,2016-10-28
3.36,Action,2016-11-15
3.36,Fighting,1998-07-14
3.34,Action-Adventure,2013-10-29
3.34,Sports,2017-09-19
3.33,Shooter,2002-11-18
3.32,Action,2005-05-04
3.31,Shooter,2001-12-06
3.3,Sports,2015-08-25
3.28,Action,2003-11-05
3.28,Sports,2016-08-23
3.27,Racing,2009-10-01
3.27,Shooter,2012-12-04
3.27,Action,2003-11-03
3.25,Sports,2015-09-22
3.21,Adventure,2011-11-15
3.21,Shooter,1999-11-16
3.2,Fighting,2000-11-21
3.19,Action-Adventure,2013-11-15
3.18,Action,2003-05-14
3.18,Action-Adventure,2018-10-05
3.17,Role-Playing,2010-10-19
3.14,Sports,2007-10-09
3.14,Adventure,2008-11-25
3.14,Sports,2017-09-29
3.13,Action,2000-08-30
3.12,Role-Playing,2007-03-20
3.12,Action,2012-10-02
3.12,Racing,1998-03-25
3.12,Shooter,2017-03-07
3.11,Shooter,2014-03-11
3.11,Sports,2012-10-02
3.1,Role-Playing,2010-01-26
3.08,Adventure,2008-09-23
3.08,Sports,2001-08-19
3.07,Action,2008-10-14
3.07,Shooter,2013-11-22
3.07,Simulation,2002-03-25
3.06,Shooter,2013-01-15
3.06,Adventure,2008-09-23
3.05,Platform,2008-06-03
3.04,Action,2015-09-01
3.04,Role-Playing,2012-03-06
3.03,Platform,1995-09-01
3.02,Action,2002-11-17
3,Fighting,2005-11-15
2.99,Misc,2000-08-27
2.99,Sports,2003-03-11
2.98,Shooter,2012-12-04
2.96,Action,2002-10-01
2.96,Shooter,2010-03-02
2.95,Fighting,2009-02-17
2.94,Fighting,2005-11-14
2.94,Puzzle,2001-07-12
2.93,Sports,2012-08-28
2.92,Shooter,2016-05-13
2.91,Sports,2014-09-23
2.91,Role-Playing,2007-11-20
2.9,Fighting,2011-04-19
2.89,Shooter,2004-11-16
2.89,Simulation,2007-03-20
2.89,Sports,2008-03-18
2.89,Sports,2002-03-11
2.87,Simulation,2007-10-23
2.87,Racing,2000-01-31
2.87,Action-Adventure,2016-10-07
2.86,Role-Playing,2002-06-06
2.85,Action,2010-11-16
2.83,Sports,2009-08-14
2.83,Shooter,2007-08-21
2.83,Fighting,2004-11-02
2.83,Sports,2011-11-15
2.82,Role-Playing,2014-08-19
2.82,Platform,2003-05-10
2.82,Racing,2009-10-01
2.82,Shooter,2010-10-12
2.81,Simulation,2007-10-23
2.81,Racing,2010-11-16
2.81,Shooter,2011-02-22
2.79,Sports,2001-06-18
2.79,Action,2011-10-16
2.79,Fighting,2001-11-18
2.79,Fighting,1996-09-01
2.79,Sports,1998-05-05
2.79,Platform,1998-10-31
2.77,Action,2008-09-16
2.77,Action,2011-11-15
2.77,Simulation,2003-01-12
2.76,Shooter,2011-10-25
2.74,Racing,2012-10-30
2.73,Action-Adventure,2016-02-23
2.73,Adventure,2011-11-15
2.72,Shooter,2016-05-24
2.72,Racing,2015-11-03
2.71,Shooter,2015-12-01
2.71,Sports,2010-05-11
2.71,Sports,2012-08-28
2.7,Sports,2011-08-30
2.7,Shooter,2006-11-07
2.69,Action,2006-09-12
2.69,Sports,2010-08-10
2.68,Racing,2004-09-07
2.67,Fighting,1993-09-13
2.67,Shooter,1999-11-11
2.67,Shooter,2005-11-01
2.66,Role-Playing,2012-01-31
2.66,Shooter,2006-10-20
2.66,Misc,2008-10-26
2.66,Fighting,2002-10-31
2.65,Action,2003-04-08
2.65,Racing,2009-09-15
2.65,Action,2006-10-10
2.64,Shooter,2010-10-12
2.64,Sports,2011-10-04
2.63,Racing,2000-10-25
2.63,Sports,2018-09-11
2.63,Sports,2012-10-02
2.62,Sports,2009-10-20
2.62,Sports,2004-07-20
2.62,Sports,2017-08-25
2.61,Platform,2009-11-17
2.61,Adventure,2002-11-14
2.6,Adventure,2009-10-29
2.6,Action,1990-12-31
2.59,Sports,2008-10-14
2.59,Sports,2004-09-28
2.59,Shooter,2016-03-08
2.59,Action,2007-11-06
2.58,Fighting,2006-11-14
2.58,Misc,2012-10-21
2.57,Sports,2007-08-14
2.57,Sports,2013-10-11
2.56,Role-Playing,2009-11-03
2.56,Sports,1998-05-05
2.55,Sports,2015-09-22
2.54,Sports,2008-08-12
2.52,Racing,2001-05-14
2.51,Action,2013-03-05
2.5,Racing,2008-10-20
2.5,Sports,2008-11-11
2.5,Role-Playing,2006-10-24
2.49,Action,2003-10-31
2.49,Fighting,2002-11-16
2.49,Misc,2007-11-27
2.49,Sports,2014-10-07
2.48,Action,2011-11-15
2.48,Action,1999-11-22
2.47,Sports,2015-08-25
2.47,Misc,2007-11-20
2.47,Action,2017-10-27
2.47,Misc,2014-11-11
2.47,Racing,2008-09-16
2.45,Adventure,2010-06-29
2.45,Action,2015-01-27
2.44,Sports,2016-08-23
2.44,Racing,1996-10-31
2.44,Misc,2010-11-14
2.43,Simulation,2003-12-15
2.42,Shooter,2008-03-18
2.42,Platform,1999-09-09
2.42,Racing,2006-10-31
2.41,Shooter,2011-11-15
2.41,Action-Adventure,2011-11-15
2.41,Racing,2007-11-13
2.41,Sports,2010-10-05
2.41,Sports,2015-09-29
2.41,Racing,2001-02-05
2.4,Racing,2013-11-22
2.4,Action-Adventure,2013-10-25
2.4,Racing,2008-10-20
2.4,Puzzle,1996-10-18
2.4,Sports,2010-08-10
2.4,Strategy,1997-03-31
2.39,Sports,2010-11-18
2.39,Adventure,2001-10-24
2.39,Misc,1995-01-01
2.39,Fighting,1994-01-01
2.38,Action,2011-09-06
2.38,Fighting,1998-10-26
2.37,Action,2004-10-31
2.37,Sports,2009-08-14
2.37,Sports,2007-08-14
2.37,Sports,2004-10-04
2.36,Misc,2009-02-10
2.35,Shooter,2017-09-06
2.35,Adventure,2008-06-03
2.34,Action,2013-10-22
2.34,Fighting,2007-11-13
2.34,Role-Playing,2014-11-18
2.33,Sports,2011-10-25
2.33,Sports,2013-08-27
2.32,Action,1998-06-30
2.32,Sports,2008-12-02
2.32,Action,2013-11-22
2.31,Sports,1998-10-28
2.31,Racing,1999-03-01
2.31,Simulation,2010-10-26
2.31,Action,2007-11-06
2.31,Shooter,2004-02-17
2.29,Action,2011-09-06
2.29,Adventure,1997-10-31
2.29,Adventure,2010-06-29
2.28,Sports,2009-11-03
2.28,Racing,2004-11-15
2.28,Sports,2008-10-14
2.27,Sports,2011-08-30
2.27,Shooter,2005-11-01
2.27,Shooter,2012-09-18
2.26,Action-Adventure,2016-08-09
2.25,Sports,2014-08-26
2.25,Misc,2007-10-28
2.25,Misc,2010-11-09
2.25,Sports,1997-10-31
2.24,Platform,2002-02-04
2.24,Shooter,2006-11-14
2.23,Simulation,2009-10-27
2.23,Action,1990-12-01
2.23,Platform,2001-10-29
2.22,Adventure,2003-11-06
2.22,Sports,2018-09-28
2.22,Shooter,2018-11-20
2.22,Action,2008-09-16
2.22,Sports,2013-10-01
2.21,Misc,2007-04-03
2.21,Sports,2018-08-10
2.2,Misc,2008-09-14
2.2,Adventure,2008-06-03
2.2,Racing,2010-11-16
2.2,Shooter,2010-02-09
2.2,Sports,1988-01-01
2.2,Puzzle,2007-08-14
2.19,Sports,2014-09-23
2.19,Platform,2013-10-13
2.19,Sports,2011-09-27
2.19,Role-Playing,2003-07-17
2.19,Role-Playing,2010-03-09
2.18,Shooter,2015-09-15
2.18,Racing,2017-11-10
2.18,Racing,2002-11-09
2.17,Racing,2013-11-15
2.17,Shooter,2017-12-12
2.17,Platform,2018-11-13
2.16,Sports,2009-11-24
2.16,Simulation,2001-03-26
2.16,Misc,2016-10-13
2.15,Shooter,2000-02-29
2.15,Shooter,2015-03-17
2.14,Shooter,2007-03-13
2.14,Simulation,1993-01-01
2.13,Sports,2011-10-04
2.13,Simulation,2004-09-21
2.12,Shooter,2009-10-20
2.12,Fighting,2011-04-19
2.11,Sports,2000-02-29
2.11,Racing,2002-10-01
2.11,Sports,2008-11-11
2.11,Sports,2010-10-05
2.1,Platform,2002-05-20
2.09,Shooter,2013-11-22
2.09,Action,2003-05-09
2.09,Sports,2014-08-26
2.09,Adventure,2010-04-13
2.09,Racing,2005-11-15
2.09,Music,2014-10-21
2.08,Puzzle,2002-03-20
2.08,Action,2010-06-08
2.08,Misc,2008-06-22
2.08,Strategy,1999-10-31
2.08,Misc,2010-06-22
2.08,Shooter,2011-04-19
2.07,Fighting,2009-05-19
2.07,Shooter,2002-10-31
2.07,Simulation,2007-09-25
2.07,Adventure,2016-10-11
2.07,Simulation,2006-10-31
2.06,Shooter,2005-11-17
2.06,Racing,1999-05-04
2.06,Action,2004-10-31
2.06,Action,2010-06-15
2.06,Action,2012-11-20
2.06,Action,2010-04-13
2.06,Racing,2008-11-17
2.05,Sports,1989-07-28
2.05,Role-Playing,2011-10-04
2.05,Fighting,2008-11-16
2.05,MMO,2015-06-09
2.05,Racing,2007-11-15
2.05,Sports,1993-01-01
2.04,Shooter,2006-11-07
2.04,Role-Playing,2018-09-04
2.04,Racing,2007-10-02
2.04,Racing,2007-11-13
2.04,Sports,2016-09-16
2.04,Music,2011-10-25
2.04,Misc,2008-07-08
2.04,Action,2017-10-10
2.04,Action,2005-11-21
2.04,Sports,2013-08-27
2.03,Sports,2003-10-14
2.03,Sports,2010-05-11
2.03,Misc,2008-11-18
2.03,Simulation,2010-10-26
2.02,Sports,2017-09-19
2.02,Sports,2016-07-05
2.02,Misc,2011-10-07
2.01,Racing,2011-11-15
2.01,Shooter,2015-11-06
2,Puzzle,2007-06-25
2,Shooter,2008-10-13
1.99,Action,1998-08-31
1.99,Adventure,2002-11-14
1.99,Fighting,2008-11-16
1.98,Adventure,2002-11-14
1.98,Action-Adventure,2015-12-01
1.97,Action,2016-11-10
1.97,Action,2012-10-02
1.97,Shooter,2013-03-26
1.97,Platform,2002-11-03
1.96,Sports,2005-05-03
1.96,Action,2013-10-22
1.95,Shooter,2015-11-06
1.95,Sports,2003-04-28
1.95,Shooter,2006-11-20
1.95,Action,2005-06-07
1.95,Shooter,1995-02-28
1.95,Racing,2003-11-13
1.95,Racing,2008-01-22
1.94,Adventure,2001-10-04
1.94,Shooter,2002-11-11
1.94,Shooter,2008-11-10
1.94,Fighting,2003-03-31
1.94,Racing,2012-10-23
1.94,Misc,2014-09-09
1.94,Racing,1997-10-31
1.94,Sports,2008-10-14
1.93,Role-Playing,2004-09-21
1.93,Fighting,1996-01-01
1.93,Fighting,1994-01-01
1.92,Simulation,2003-10-28
1.92,Adventure,2001-05-13
1.92,Misc,2008-10-26
1.92,Shooter,2017-11-17
1.92,Shooter,2001-05-21
1.92,Racing,2004-02-17
1.91,Action,2013-11-15
1.91,Sports,2017-08-25
1.91,Racing,2009-09-15
1.9,Simulation,2001-11-09
1.9,Action,2013-03-05
1.9,Action-Adventure,2013-10-25
1.89,Misc,2009-09-15
1.89,Sports,2008-08-12
1.89,Misc,2008-10-20
1.89,Sandbox,2018-06-21
1.88,Sports,2000-02-29
1.88,Fighting,2004-10-04
1.88,Misc,2008-10-06
1.88,Shooter,2005-06-07
1.88,Fighting,1998-01-31
1.87,Sports,1999-10-09
1.87,Misc,2007-10-30
1.87,Action,2011-06-07
1.86,Misc,2004-05-21
1.86,Role-Playing,2000-06-11
1.86,Platform,2010-03-02
1.86,Adventure,2001-05-13
1.86,Action,2014-10-14
1.86,Platform,2004-04-28
1.86,Action,2008-09-16
1.86,Shooter,2012-05-15
1.86,Sports,2001-10-29
1.86,Sports,2005-08-08
1.85,Action,2009-02-03
1.85,Platform,2004-11-09
1.84,Racing,2018-10-02
1.84,Misc,2007-11-15
1.84,Sports,2005-07-11
1.83,Misc,2005-11-11
1.83,Racing,1996-10-31
1.83,Role-Playing,2016-10-28
1.83,Action-Adventure,2014-05-27
1.82,Shooter,2013-03-26
1.82,Platform,1994-10-17
1.82,Misc,2001-12-04
1.82,Shooter,2007-10-10
1.82,Role-Playing,2017-07-29
1.82,Simulation,2001-11-21
1.81,Racing,2000-01-24
1.81,Simulation,2003-09-23
1.81,Platform,2004-09-14
1.81,Sports,2010-10-05
1.8,Sports,1999-07-31
1.8,Platform,2003-03-09
1.8,Misc,2008-10-26
1.79,Racing,2014-12-02
1.79,Action,2011-03-22
1.79,Platform,1994-10-01
1.78,Action,2001-09-21
1.78,Action,2005-01-11
1.78,Racing,2003-04-09
1.78,Action,2018-03-27
1.77,Action,2005-11-17
1.76,Action,2002-02-12
1.76,Simulation,2001-02-19
1.76,Action,2007-02-27
1.76,Fighting,2009-05-19
1.76,Role-Playing,2012-05-22
1.76,Platform,2004-10-27
1.76,Platform,1994-01-23
1.76,Fighting,2004-09-20
1.76,Shooter,2002-11-11
1.76,Fighting,1999-07-31
1.76,Misc,2007-10-30
1.76,Simulation,2004-11-09
1.75,Action,2010-03-23
1.75,Action,2017-02-14
1.75,Sports,1999-07-31
1.75,Sports,2001-11-24
1.75,Misc,2004-12-01
1.75,Shooter,2004-09-20
1.75,Simulation,2008-09-12
1.75,Sports,2007-10-09
1.74,Adventure,1999-08-31
1.74,Sports,2014-10-07
1.74,Sports,2018-09-11
1.74,Fighting,2015-04-14
1.74,Action-Adventure,2018-09-14
1.73,Platform,2002-02-25
1.73,Action,1998-10-31
1.73,Action,2001-11-21
1.73,Sports,2001-11-05
1.72,Shooter,2013-04-16
1.72,Shooter,2008-11-10
1.72,Fighting,2017-05-16
1.72,Sports,2004-08-17
1.72,Puzzle,2009-10-06
1.72,Misc,2007-07-23
1.72,Sports,2004-08-09
1.72,Action,2003-10-21
1.72,Shooter,2016-10-28
1.71,Puzzle,2001-09-05
1.71,Racing,2003-11-17
1.71,Misc,2009-09-09
1.71,Shooter,2011-04-19
1.71,Platform,1999-11-30
1.71,Simulation,2008-08-12
1.71,Shooter,2011-11-08
1.71,Shooter,2012-11-13
1.7,Puzzle,1993-12-10
1.7,Sports,2009-10-20
1.7,Sports,2009-09-29
1.7,Action,2007-10-30
1.7,Action,2012-11-20
1.7,Sports,2006-07-18
1.69,Simulation,2010-10-26
1.69,Simulation,2009-10-20
1.69,Simulation,2013-04-13
1.69,Shooter,2005-10-11
1.69,Action,2001-11-15
1.69,Action-Adventure,2012-06-26
1.69,Action,2013-08-20
1.69,Misc,1999-10-01
1.69,Fighting,1997-11-16
1.69,Role-Playing,2002-05-14
1.69,Racing,2008-11-17
1.68,Shooter,2007-10-09
1.68,Shooter,1997-10-31
1.68,Misc,2006-08-29
1.68,Shooter,2014-11-18
1.68,Simulation,2003-05-12
1.68,Action,2008-10-14
1.67,Role-Playing,2009-11-03
1.67,Platform,2003-10-31
1.67,Sports,2003-07-16
1.67,Sports,2001-10-28
1.67,Shooter,2005-11-01
1.67,Racing,2003-11-17
1.67,Adventure,2001-10-25
1.67,Racing,2001-09-24
1.67,Shooter,2014-09-09
1.67,Sports,2003-10-20
1.67,Sports,2000-08-22
1.67,Fighting,2006-12-05
1.66,Misc,2013-08-18
1.66,Sports,2008-11-16
1.66,Sports,2000-10-30
1.66,Sports,2014-10-07
1.66,Sports,2004-04-05
1.66,Sports,2002-10-08
1.65,Racing,2006-10-31
1.65,Simulation,2007-09-18
1.65,Action,2008-11-11
1.64,Adventure,2004-11-30
1.64,Sports,2005-09-26
1.64,Action-Adventure,2014-05-27
1.64,Sports,2002-10-27
1.64,Shooter,1999-11-23
1.64,Shooter,2008-03-07
1.64,Role-Playing,2017-04-04
1.63,Sports,2003-09-22
1.63,Platform,1999-05-31
1.63,Sports,2004-07-20
1.63,Shooter,2012-05-15
1.62,Action,2012-02-15
1.62,Shooter,2015-02-20
1.62,Sports,2004-07-15
1.62,Racing,1999-08-10
1.62,Shooter,2010-11-09
1.62,Sports,2005-10-18
1.62,Misc,2007-11-20
1.62,Simulation,2010-11-04
1.61,Misc,2005-10-21
1.61,Sports,2004-12-22
1.61,Adventure,2007-10-23
1.61,Shooter,2017-03-07
1.61,Shooter,2014-05-20
1.6,Racing,2005-04-11
1.6,Sports,2014-08-26
1.6,Shooter,2011-10-04
1.6,Action,2010-03-23
1.59,Sports,2008-03-12
1.59,Fighting,1997-01-01
1.59,Racing,1999-09-30
1.59,Adventure,2010-06-29
1.59,Shooter,2008-10-21
1.59,Platform,2011-11-01
1.59,Sports,2004-09-30
1.59,Sports,2015-09-22
1.58,Action,2015-06-23
1.58,Simulation,2008-09-12
1.58,Platform,2002-09-25
1.58,Misc,2000-05-15
1.58,Action,2008-02-05
1.57,Misc,2008-10-21
1.57,Misc,2011-11-06
1.57,Sports,2001-07-23
1.57,Action,2011-05-10
1.57,Sports,2009-11-10
1.57,Shooter,2002-09-30
1.57,Misc,2008-11-16
1.56,Sports,2008-10-20
1.56,Action,1995-11-05
1.56,Fighting,2011-04-19
1.56,Racing,2000-10-25
1.56,Action,2007-10-16
1.56,Simulation,2008-10-28
1.56,Action,2010-08-24
1.56,Fighting,2006-02-20
1.55,Shooter,2018-11-20
1.55,Shooter,2000-10-17
1.55,Shooter,2013-04-16
1.55,Shooter,2003-11-12
1.55,Misc,2009-09-01
1.55,Shooter,2010-02-09
1.55,Racing,2002-06-23
1.55,Action,2001-10-17
1.54,Racing,2012-10-30
1.54,Shooter,1996-08-31
1.54,Sports,2013-11-15
1.54,Role-Playing,2001-05-28
1.54,Misc,2011-10-11
1.54,Sports,2005-02-22
1.53,Fighting,1995-10-01
1.53,Sports,1998-10-31
1.53,Misc,2013-08-18
1.53,Sports,1998-07-31
1.52,Sports,2012-09-25
1.52,Simulation,2008-10-28
1.52,Puzzle,2002-08-25
1.52,Fighting,1998-10-31
1.52,Fighting,2009-06-23
1.52,Racing,2007-11-13
1.52,Racing,1997-01-01
1.52,Racing,2017-10-03
1.52,Racing,1998-09-30
1.52,Adventure,2008-10-28
1.52,Shooter,1990-01-01
1.52,Shooter,2011-01-25
1.52,Sports,2002-11-11
1.52,Sports,1999-10-31
1.51,Platform,2007-10-30
1.51,Platform,2007-10-30
1.51,Shooter,2006-11-15
1.51,Shooter,2009-11-10
1.51,Sports,2018-08-10
1.51,Action,2010-10-26
1.51,Action,2002-02-24
1.51,Sports,1997-11-30
1.51,Shooter,2012-11-13
1.51,Action-Adventure,2014-01-28
1.51,Fighting,2001-04-12
1.51,Misc,1997-10-31
1.5,Platform,1986-03-05
1.5,Misc,2008-10-19
1.5,Action,1999-09-30
1.5,Racing,2001-05-28
1.5,Sports,2000-10-23
1.5,Sports,2011-10-21
1.5,Fighting,2000-11-17
1.5,Fighting,2003-08-27
1.5,Shooter,2002-10-15
1.5,Platform,2014-02-18
1.5,Sports,1998-09-12
1.5,Action,2013-02-19
1.49,Action,2010-09-28
1.49,Action,2010-08-24
1.49,Role-Playing,2017-03-21
1.49,Sports,2008-08-12
1.49,Sports,2014-08-26
1.49,Shooter,2002-11-10
1.49,Misc,2006-03-17
1.48,Adventure,2012-10-30
1.48,Strategy,2011-04-12
1.48,Adventure,2006-09-18
1.48,Adventure,2008-09-15
1.48,Sports,2005-02-28
1.48,Action,2011-03-22
1.48,Fighting,2004-04-05
1.48,Misc,2009-10-06
1.48,Shooter,2008-11-04
1.48,Action,2004-03-23
1.48,Misc,2009-02-10
1.48,Shooter,2012-05-22
1.47,Action,2016-02-06
1.47,Fighting,2006-02-20
1.47,Platform,2003-04-04
1.47,Misc,2016-06-17
1.47,Puzzle,2010-10-12
1.47,Simulation,2007-10-23
1.46,Misc,2003-11-18
1.46,Fighting,1998-02-28
1.46,Platform,2008-06-24
1.46,Action,2004-10-27
1.46,Fighting,1998-06-24
1.46,Shooter,2008-06-23
1.46,Role-Playing,2012-03-06
1.46,Sports,1998-02-28
1.46,Simulation,2010-11-15
1.46,Racing,2014-09-30
1.46,Role-Playing,2011-01-18
1.46,Shooter,2011-03-15
1.46,Puzzle,2001-11-17
1.45,Sports,2005-10-18
1.45,Shooter,2004-05-03
1.45,Shooter,2016-05-13
1.45,Simulation,1997-10-17
1.45,Shooter,2008-03-11
1.45,Racing,2010-02-23
1.45,Simulation,1997-06-26
1.45,Fighting,1999-01-01
1.45,Misc,2006-11-16
1.45,Misc,1999-10-31
1.44,Racing,2006-11-16
1.44,Adventure,2007-10-16
1.44,Misc,2007-11-06
1.44,Action,2010-10-26
1.44,Sports,2004-09-20
1.44,Shooter,2008-10-21
1.44,Action,2015-10-23
1.44,Sports,2002-07-20
1.44,Misc,2007-04-03
1.43,Racing,2010-11-04
1.43,Role-Playing,2017-10-17
1.43,Sports,1999-02-28
1.43,Misc,2008-11-11
1.43,Shooter,2011-01-25
1.43,Fighting,2007-11-13
1.43,Platform,2004-06-02
1.43,Action,2000-10-10
1.43,Misc,2007-11-13
1.42,Fighting,2013-04-16
1.42,Sports,2008-08-26
1.42,Action-Adventure,2012-06-26
1.42,Sports,2005-09-26
1.42,Fighting,2010-05-25
1.42,Shooter,2012-10-23
1.42,Action,2014-09-30
1.42,Sports,1990-01-01
1.42,Sports,2004-01-13
1.42,Misc,2006-11-14
1.42,Sports,2002-11-26
1.41,Action,2006-09-12
1.41,Adventure,2009-11-17
1.41,Action,2005-10-25
1.41,Misc,2009-11-23
1.41,Racing,2004-08-31
1.41,Racing,2001-06-18
1.41,Action,1994-12-08
1.41,Fighting,1999-10-31
1.4,Sports,1996-10-31
1.4,Racing,2008-11-17
1.4,Platform,2004-06-07
